band,album,date,genre,country,real_date,count
"Porta Inferi","Devil Inside",2007,"Progressive/Power Metal",Czechia,1/1/2007,1
Vhod,"Dreams of 11.14","November 30th, 2014 ","Death/Stoner/Doom Metal",Canada,1/1/2014,1
Bleeder,Eleonor,2015,"Death Metal/Grindcore",Spain,1/1/2015,1
"Heaume Mortal",Solstices,"February 28th, 2019 ","Black Metal",France,1/1/2019,1
"Something Must Die","Something Must Die",2004,"Metalcore/Death Metal","United States",1/1/2004,1
"One Machine","The Distortion of Lies and the Overdriven Truth","February 17th, 2014 ","Progressive/Groove/Power/Thrash Metal",International,1/1/2014,1
F.O.D,F.O.D.,1997,"Thrash Metal/Punk",Indonesia,1/1/1997,1
"Wounded Funeral","Museau Blanc","November 25th, 2018 ","Black Metal",Canada,1/1/2018,1
"Maniac Revenge","Blessed Hypocrisy","June 1st, 2019 ","Thrash Metal",Chile,1/1/2019,1
Seraphiel,"Opposing Existence","December 22nd, 2008 ","Power Metal",Finland,1/1/2008,1
Frustration,"Demo 2016","January 10th, 2016 ","Doom/Heavy Metal",Greece,1/1/2016,1
Strigampire,"The Merry-Go-Round","April 27th, 2012 ","Melodic Black Metal",Canada,1/1/2012,1
"Rektális Szerzetes Rend",Faszpirin,2011,"Noisegrind (early), Death Metal/Grindcore (later)",Hungary,1/1/2011,1
Helheim,"Niðr ok Norðr liggr Helvegr",1994,"Viking/Black Metal",Norway,1/1/1994,1
"The Last Act","No Good Deed Goes Unpunished","September 1st, 2004 ","Heavy Metal/Hard Rock",Canada,1/1/2004,1
Coldcast,Coldcast,2007,"Groove Metal","United States",1/1/2007,1
"Inquisition Symphony","Derived from Insanity","April 16th, 2009 ","Thrash Metal",Netherlands,1/1/2009,1
Shredhammer,"Beyond Your Reach","January 18th, 2014 ","Thrash/Groove Metal",Germany,1/1/2014,1
Rectificated,"Unleash the Hellfire",2004,"Death Metal",Germany,1/1/2004,1
"Masters of Disguise","Knutson's Return","October 25th, 2013 ","Power/Speed Metal",Germany,1/1/2013,1
Evilthorn,"白色绝望 (White Despair)","October 3rd, 2015 ","Black Metal",China,1/1/2015,1
"Attack Fire","Denied by God",2011,"Thrash Metal",Colombia,1/1/2011,1
"Black Death","Demo III",1983,"Heavy Metal","United States",1/1/1983,1
Necrowar,"Reality of Apocalypse",2004,"Death Metal",Brazil,1/1/2004,1
Ebola,"Bizarre Transformations",2007,"Death/Thrash/Heavy Metal",Netherlands,1/1/2007,1
Dyslesia,"My Own Revolution",1999,"Melodic Power Metal",France,1/1/1999,1
"Destruction of Violence","The Sweat, the Blood, the Beer",2004,"Thrash Metal",Austria,1/1/2004,1
"The Jelly Jam","The Jelly Jam","March 19th, 2002 ","Progressive Metal","United States",1/1/2002,1
"Drive-By Bukkake",Spunk-O-Rama,"July 12th, 2019 ","Death/Thrash Metal","United States",1/1/2019,1
Protolith,Sunsetter,"September 25th, 2012 ","Progressive Sludge/Post-Metal","United States",1/1/2012,1
Kolony,Kolony,"October 25th, 2012 ","Heavy/Power Metal",Canada,1/1/2012,1
"Unearthly Trance","Sonic Burial Hymns",2000,"Sludge/Doom Metal","United States",1/1/2000,1
Ghoul,"Intermediate Level Hard​-​Core","April 20th, 2013 ","Death/Thrash Metal/Grindcore","United States",1/1/2013,1
Hiraeth,Demo,"September 11th, 2014 ","Black Metal","United States",1/1/2014,1
"Rapid Fire","Settle the Score","February 20th, 2009 ","Heavy/Power Metal","United States",1/1/2009,1
Sufferkunt,Sufferkunt,2003,"Brutal Death Metal/Grindcore",Australia,1/1/2003,1
"Metal Knights","World of Forever","September 29th, 2009 ","Heavy Metal","United States",1/1/2009,1
"Old Pagan","Thrash Black Metal Holokaust",2001,"Black Metal",Germany,1/1/2001,1
Fallujah,"The Flesh Prevails","July 22nd, 2014 ","Deathcore (early); Progressive/Technical Death Metal (later)","United States",1/1/2014,1
"Lethal Curse","Return To Obscurity",1994,"Death/Thrash Metal",Brazil,1/1/1994,1
"Survival Instinct","I Am the Night","September 21st, 2018 ","Thrash Metal",Canada,1/1/2018,1
Boyzboyzboyz,"Thrash Retro","November 24th, 2010 ",Crossover,Japan,1/1/2010,1
Phantasmagoria,Furiosis,1999,"Heavy/Thrash Metal",Poland,1/1/1999,1
"Dark Princess","Жестокая игра","December 16th, 2007 ","Gothic Metal/Rock",Russia,1/1/2007,1
"Colossal Swan Dive","Colossal Swan Dive","June 19th, 2015 ","Sludge Metal","United States",1/1/2015,1
Brukully,Brukully,2001,"Thrash Metal",Spain,1/1/2001,1
Iblissian,"Rehearsal Covers","July 23rd, 2019 ","Black/Death Metal","United States",1/1/2019,1
"Razor Wire Shrine","Going Deaf for a Living",2004,"Experimental/Progressive Metal","United States",1/1/2004,1
"Orisha Shakpana","Caribbean Metallic Storm","February 16th, 2011 ","Black/Death Metal",Jamaica,1/1/2011,1
Angelgoat,"The Lucifer Within","February 24th, 2020 ","Black Metal",Serbia,1/1/2020,1
Nilaihal,"Wash the Blood Away",1998,"Black Metal","United States",1/1/1998,1
IR8,IR8,1994,"Thrash Metal",International,1/1/1994,1
Moonfog,"Krvavé spomienky","October 9th, 2004 ","Thrash/Death Metal (early), Brutal Death Metal (later)",Slovakia,1/1/2004,1
Beastkeeper,"Morbid Endeavors","December 20th, 2006 ","Death Metal","United States",1/1/2006,1
"Vörgus","The Evil Dominator",2002,"Thrash/Death Metal",Sweden,1/1/2002,1
"Divine Incarnation","Judgment Against the Nations","August 10th, 2010 ","Black/Thrash Metal","United States",1/1/2010,1
Nox,Zazaz,2003,"Death Metal",Netherlands,1/1/2003,1
Mimesis,"By Heart",2006,"Gothic Metal",Czechia,1/1/2006,1
Silence,"Victim of My Own Design",2001,"Thrash Metal/Hardcore","United States",1/1/2001,1
Prymityw,"Propaganda chaosu","October 14th, 2018 ","Black Metal",Poland,1/1/2018,1
Rotten,"Adonis Satanica",2004,"Death Metal/Grindcore",Finland,1/1/2004,1
Disguster,"Esoterrorism III","April 2010","Raw Black Metal","United States",1/1/2010,1
Vomitor,"Violent Grave Rehearsal",2002,"Death/Thrash Metal",Australia,1/1/2002,1
"Sorrowful Land","Of Ruins...","November 7th, 2016 ","Doom/Death Metal",Ukraine,1/1/2016,1
Camembert,"Menos mal que nos queda el metal",2000,"Thrash Metal",Argentina,1/1/2000,1
Heritage,"Testament of Steel","December 1996","Melodic Heavy Metal",Japan,1/1/1996,1
Dunkelheit,"Endless Dream About the Final Deliverance","November 23rd, 2009 ","Black Metal",Hungary,1/1/2009,1
"Erdrückt","Erdrückt",2008,"Thrash/Black Metal",Italy,1/1/2008,1
Spira,"Summon 3: Asomvel Resurrected","July 3rd, 2014 ","Raw Black Metal","United States",1/1/2014,1
"Sultans of Beer","Las camineras","May 31st, 2017 ","Heavy/Stoner Metal",Mexico,1/1/2017,1
Legions,Destroyer,"April 1st, 2010 ","Black Metal","United States",1/1/2010,1
"Stained Blood",Nyctosphere,"March 22nd, 2019 ","Melodic Death Metal/Deathcore (early); Black/Melodic Death Metal (later)",Spain,1/1/2019,1
Valhall,"Red Planet","June 9th, 2009 ","Black Metal (early); Stoner/Doom Metal (later)",Norway,1/1/2009,1
1917,"Bienvenido a la nada","January 1996","Death Metal",Argentina,1/1/1996,1
Sicada,"Black Sheep","December 16th, 2014 ","Progressive Thrash/Death Metal (early); Deathcore (later)","United States",1/1/2014,1
"Nurt Ognia","Świat stoi wojną","April 25th, 2020 ","Raw Black Metal",Poland,1/1/2020,1
Devaner,"Sick World","September 15th, 2016 ","Thrash/Death Metal",Poland,1/1/2016,1
"Sleazy View","Led by Wrath","December 18th, 2006 ","Thrash Metal",France,1/1/2006,1
Carnefix,"Promo Live Tape '94",1994,"Death Metal",Italy,1/1/1994,1
Sagros,"Anger Blinds the Mind","September 16th, 2013 ","Thrash Metal",Colombia,1/1/2013,1
Nightmission,"No Saints in Black","November 7th, 2005 ","Heavy Metal",Germany,1/1/2005,1
"Swan Messiah","Master of Somnolence","April 11th, 2020 ","Drone/Doom Metal",Australia,1/1/2020,1
"The Father of Serpents","Age of Damnation","June 19th, 2017 ","Gothic/Doom Metal",Serbia,1/1/2017,1
Dissector,Gynecrologist,"December 21st, 1989 ","Black/Death Metal",Brazil,1/1/1989,1
Disinhibition,"Demo 2012","December 5th, 2012 ","Death Metal/Grindcore","United States",1/1/2012,1
Hellcraft,"Tyranny of Middle Ages","December 30th, 2012 ","Death Metal",Ukraine,1/1/2012,1
"Alcoholic D.C.","Holy Casino",2008,"Thrash Metal",Brazil,1/1/2008,1
